state,state_key,scenario,ensemble,n,g_quoted_mean,g_quoted_std,g_quoted_p16,g_quoted_median,g_quoted_p84,g_quoted_min,g_quoted_max,Gamma_quoted_keV_mean,Gamma_quoted_keV_std,Gamma_quoted_keV_p16,Gamma_quoted_keV_median,Gamma_quoted_keV_p84,Gamma_quoted_keV_min,Gamma_quoted_keV_max,gB_soft_mean,gB_soft_std,gB_soft_p16,gB_soft_median,gB_soft_p84,gB_soft_min,gB_soft_max,gB_hard_mean,gB_hard_std,gB_hard_p16,gB_hard_median,gB_hard_p84,gB_hard_min,gB_hard_max,gB_total_mean,gB_total_std,gB_total_p16,gB_total_median,gB_total_p84,gB_total_min,gB_total_max,fV_Bsstar_GeV_mean,fV_Bsstar_GeV_std,fV_Bsstar_GeV_p16,fV_Bsstar_GeV_median,fV_Bsstar_GeV_p84,fV_Bsstar_GeV_min,fV_Bsstar_GeV_max,f1_GeV_mean,f1_GeV_std,f1_GeV_p16,f1_GeV_median,f1_GeV_p84,f1_GeV_min,f1_GeV_max,f2_GeV_mean,f2_GeV_std,f2_GeV_p16,f2_GeV_median,f2_GeV_p84,f2_GeV_min,f2_GeV_max
B_{s1}(5750),Bs1_5750,legacy_chi_condensate,theta_fixed,398,-0.6458392713742106,0.37102078150404777,-0.9770577832338131,-0.6139722597715531,-0.30160420384484576,-1.8885169090063236,0.3494769875180775,2.944899770926747,3.2131791897682436,0.4712088720697349,1.8939048705622648,5.105677313074999,0.00013253093431387516,21.167849722978794,-1.3018944491921447,0.3999824355773952,-1.689726244678503,-1.2681160924370296,-0.9119905286242481,-2.6392241091684916,-0.32661790718175454,0.5077202965788833,0.09860372249869408,0.41572595536772977,0.497417968005364,0.6055386593970211,0.27043588814038017,0.8619171229069877,-0.7941741526132616,0.3538415077945755,-1.1490755299680322,-0.7574831517978262,-0.45618907139495996,-2.02730989073606,0.08649108609582051,0.25594429789239614,0.03473245474892047,0.22046842084827475,0.25453134882423134,0.29274671113524525,0.17,0.36,0.42882872057564186,0.058323801616090284,0.370500810887275,0.43671058756669134,0.4875352195146052,0.25034952111293385,0.5642118760272321,0.21725796206144032,0.07324960479982802,0.14578858649054327,0.2201444619654931,0.2890939966458049,0.016640817136027344,0.41330095983264115
B_{s1}(5750),Bs1_5750,legacy_chi_condensate,theta_scan_25_45,342,-0.7023493183971902,0.3579788785602846,-1.0552514289105348,-0.6446116236699864,-0.3909097925104542,-2.088290789766294,0.14832378993466283,3.3590139317359524,3.4859707554879584,0.8148617602178525,2.258802474365687,6.287873490137065,0.0048820021526021305,24.438912629787406,-1.30689748504283,0.3746503632187974,-1.6785700360343119,-1.2580740879829566,-0.9617966439058255,-2.5103108965642837,-0.4611431312697145,0.4953342370935547,0.09559513881350083,0.3982486150989506,0.4846381242065197,0.5894745895328073,0.30433404850694723,0.7992896291197351,-0.8115632479492754,0.3357373583749696,-1.1681320581388173,-0.7615302177115748,-0.5086053326857872,-1.9552062778334465,-0.0375013256062568,0.2614164744387757,0.03470911832706782,0.22919042543355359,0.26200073289102693,0.29687054910074523,0.17106808634729387,0.3582959365728224,0.4141588461165041,0.05570987932602843,0.3614903462799767,0.4179021430174641,0.469617532919504,0.1540098709165687,0.5314185297709678,0.24317908161251278,0.0742326476017345,0.17119409487152465,0.2558203458164059,0.3130662029690345,0.002403050281552238,0.3937048554389241
B_{s1}(5750),Bs1_5750,lattice_fperp_s,theta_fixed,402,-1.449661149306366,0.38046668416187723,-1.7274028650884903,-1.3831506376010065,-1.1383020633887122,-4.59460828137948,-0.6772116121112512,12.227621869206226,10.456472229473794,6.63085935382198,10.243910720819496,16.242805068734256,2.5498241077476993,168.30539152726618,-2.0563764070668347,0.37030540418487773,-2.3945644380663498,-1.9959913202115056,-1.7120790258863456,-3.5766388785374104,-1.2199154934403245,0.4887817777578432,0.08970349370945879,0.4004484519375384,0.479355880818792,0.5743396383401512,0.3128108615239455,0.8769333067284981,-1.5675946293089915,0.2985430335669145,-1.8451082041705689,-1.5287609111591638,-1.292910341956687,-2.842596501922987,-0.8629744367727108,0.26448869916591417,0.031592103895458475,0.2331357553097879,0.26621820029657584,0.29392463092423005,0.1798531591516198,0.3404774227920251,0.42202171541261385,0.0573807276441133,0.36718657704785707,0.42840643996451067,0.47726966914290875,0.14726494368533952,0.5466180274354743,0.22324051310646006,0.07645221492634212,0.1418154660105218,0.2287495424298659,0.29494476247396234,0.0028029330011423103,0.4534437728502705
B_{s1}(5750),Bs1_5750,lattice_fperp_s,theta_scan_25_45,327,-1.4951771243847047,0.40727630646212853,-1.7914491055514505,-1.4489586551765368,-1.1376498829969048,-5.082065867533271,-0.7166586597135389,13.179716001931135,10.365932800834793,6.617043240664251,11.499706593894844,17.793081974165702,2.4661073317392614,149.4537386932603,-2.0707828475634558,0.38938316338006695,-2.4310878500972346,-2.0337439791844947,-1.6599240122469712,-3.7669833984260204,-1.2867970664749762,0.4993102466743032,0.09245814205754284,0.40819696316250853,0.48800153064555535,0.582230872038209,0.2989457254329125,0.8250329198167692,-1.5714726008891529,0.3144501021005302,-1.8481168974906994,-1.5458135539087143,-1.2600865193335486,-2.967251348977367,-0.8851854827389807,0.2621205082456895,0.034971415071261086,0.22632650802694668,0.260975432399397,0.2966440560140551,0.18025821346242984,0.3489585242921306,0.41391448323298063,0.05772433031724941,0.3555101034558017,0.416954503296907,0.46790898833149064,0.11304865472652795,0.5405817465321026,0.24097863755194412,0.07172556746666144,0.1672242533980493,0.24669301365433596,0.310127953788101,0.03582083088268201,0.42771740665451585
B_{s1}(5830),Bs1_5830,legacy_chi_condensate,theta_fixed,406,0.8224252775903582,0.5713403379890741,0.45875877863749354,0.6660889837728484,1.109927177619413,0.2653550646462486,4.925078808753697,9.822155500539337,21.605558958546876,2.0491208849232527,4.327316941875581,12.046737939197637,0.6971274636986348,236.76580306347176,-1.3528335077641553,0.39044863131177054,-1.766119264671573,-1.3125447723576622,-0.955169322837308,-2.7796132106452642,-0.40178999170484164,0.5126875231825595,0.09119830029385688,0.42291937154115994,0.5088164778606032,0.5971910243937533,0.3007814947938917,0.9288656611340038,-0.8401459845815955,0.3467362940563381,-1.2001550059964234,-0.8049417680571886,-0.4986976907009898,-2.0899634968316145,-0.039700068250151266,0.25981127295263773,0.03285223522635341,0.22596733682929931,0.2590831089589694,0.2947028580080893,0.17332619024837165,0.36,0.43835165587512603,0.0557276812971495,0.38456337909955574,0.4428952672863927,0.49223842355659003,0.21581596145343152,0.5837329151832849,0.2080688218783458,0.07490285757422276,0.12958433879709985,0.2116099397961565,0.2785985371364852,0.026915783111440373,0.41060413977633914
B_{s1}(5830),Bs1_5830,legacy_chi_condensate,theta_scan_25_45,311,0.6187924141495706,0.6394312350710636,0.3241965555470181,0.4859605303554691,0.7996430362646261,0.18627089291035903,9.121441400438304,7.764559569071858,48.036650472718314,1.0326007139204034,2.2899557458716773,6.196986465222974,0.3415066971303435,821.7019142733081,-1.3656374460461385,0.3892292962067693,-1.7401767171268119,-1.3522827598463996,-0.9753387811332528,-2.6669665730888363,-0.41544551392140605,0.5229154797086593,0.09618535929816799,0.4338231720902985,0.507869611705349,0.6176982145732668,0.28319097459543097,0.8313841077765249,-0.8427219663374793,0.34084141861869177,-1.1888160711104838,-0.821125306463464,-0.5006095940415577,-1.9580076780934128,0.045322568180475475,0.2628574086202085,0.03387866029674404,0.23271182285848818,0.2629852181373792,0.2979803058137883,0.17,0.36,0.4140801535566721,0.059917267874152275,0.3621394082313594,0.41968673305045945,0.4685488703873896,0.1313202753250829,0.5562902174948514,0.24320146148706753,0.0716077591598268,0.17758635790933272,0.2482075363588848,0.31008234205873275,0.016893742089847275,0.45021594614188487
B_{s1}(5830),Bs1_5830,lattice_fperp_s,theta_fixed,387,1.1199795741215337,0.9841178346455633,0.5828151640864949,0.8722632621374978,1.5609927928929674,0.3618596395951431,12.370931222440637,21.84137552504793,92.71098490597585,3.3037452255769435,7.459999767551618,23.997380195878268,1.289268363487505,1542.8328023890497,-2.17894487423637,0.38989190418748365,-2.545578713336162,-2.1354954620156814,-1.8183470031906377,-3.750523361232182,-1.420117357334181,0.514105283668969,0.09096337218066074,0.42777155538606365,0.5053843053490871,0.592643041662207,0.34964197621742954,0.9025998730396235,-1.6648395905674012,0.31552424947688495,-1.9648088885867494,-1.6260601096013316,-1.372378803978584,-3.076522436255507,-1.0224553514982362,0.26250497242454807,0.03306706270235172,0.23024614257848683,0.2618471501253766,0.29389051223380896,0.17,0.36,0.43456935384570805,0.05541639514368066,0.3804935651194095,0.43911850146116577,0.48873850478343106,0.17351215295791073,0.5657197559860268,0.20449229457737644,0.08020503126252493,0.11954019794330863,0.206408324272637,0.2859800098374418,0.016867286266190114,0.3991549492285495
B_{s1}(5830),Bs1_5830,lattice_fperp_s,theta_scan_25_45,331,0.8050696058602473,1.4244394964628244,0.2890554351542759,0.5094900464726286,0.9998509215193613,0.0788373025767911,16.074430285319973,26.230626151420903,198.00164220723698,0.8047512986251194,2.5489238501831983,9.74784269281311,0.06074068934507136,2524.898041039058,-2.178614781465579,0.3985648615398269,-2.577736590845236,-2.144309024168727,-1.7736464443418551,-3.4779050612945137,-1.1530588424979105,0.5165376370123149,0.09836132786246046,0.42101871605298136,0.5022654822650267,0.6142628675295644,0.28252318898096257,0.8765333932890083,-1.6620771444532643,0.31347496484450976,-1.9737087657407906,-1.6298303854681961,-1.3659726061071393,-2.6788755186901874,-0.870535653516948,0.2625287950179566,0.035142220015162616,0.2259873036073863,0.2635275664160411,0.2990890820520034,0.17,0.3553906012812944,0.4190735494201856,0.062051467250050646,0.36216989924407117,0.4235567116685176,0.474893803620979,0.12547400066314635,0.5585631563764293,0.24116340357729912,0.07598013498756824,0.16558177974241864,0.2512786419426573,0.30993886703472945,0.011303462838140927,0.47020521914294783
