scenario,ensemble,n,gB_soft_mean,gB_soft_std,gB_soft_p16,gB_soft_median,gB_soft_p84,gB_soft_min,gB_soft_max,ratio_tensor_da_mean,ratio_tensor_da_std,ratio_tensor_da_p16,ratio_tensor_da_median,ratio_tensor_da_p84,ratio_tensor_da_min,ratio_tensor_da_max,ratio_vector_da_mean,ratio_vector_da_std,ratio_vector_da_p16,ratio_vector_da_median,ratio_vector_da_p84,ratio_vector_da_min,ratio_vector_da_max,g1_2460_softAB_mean,g1_2460_softAB_std,g1_2460_softAB_p16,g1_2460_softAB_median,g1_2460_softAB_p84,g1_2460_softAB_min,g1_2460_softAB_max,Gamma2460_softAB_keV_mean,Gamma2460_softAB_keV_std,Gamma2460_softAB_keV_p16,Gamma2460_softAB_keV_median,Gamma2460_softAB_keV_p84,Gamma2460_softAB_keV_min,Gamma2460_softAB_keV_max,g2_2536_softAB_mean,g2_2536_softAB_std,g2_2536_softAB_p16,g2_2536_softAB_median,g2_2536_softAB_p84,g2_2536_softAB_min,g2_2536_softAB_max,Gamma2536_softAB_keV_mean,Gamma2536_softAB_keV_std,Gamma2536_softAB_keV_p16,Gamma2536_softAB_keV_median,Gamma2536_softAB_keV_p84,Gamma2536_softAB_keV_min,Gamma2536_softAB_keV_max
legacy_chi_condensate,theta_fixed,500,-0.9078184809488616,0.3069868579853882,-1.2072764468293444,-0.8874009407734531,-0.6153644477952317,-1.975163870475542,-0.11671256686455889,3.118525813347915,0.0911064941557071,3.0248200512489993,3.117992801065017,3.208049329793581,2.89348333668574,3.408758866652389,1.0078629427175332,0.008096256170579127,1.0001370136772687,1.0079945531361343,1.0157887852227268,0.9843174811504769,1.0332467261600253,-1.0603458240002661,0.4537733228839536,-1.4810591183909274,-1.0453045573978463,-0.6358909533791457,-2.833808310106287,0.3384529320634471,42.36431176706802,34.31255577699989,12.999458056796167,34.964821130803735,70.20394312283679,0.0005305151734409004,253.0618983420218,0.5537630213193401,0.13287857673094752,0.42005485821731336,0.5380052654507657,0.688581085269342,0.278258459546993,0.9942605503734028,17.445820128080886,8.57993712954082,9.47652857636851,15.583232538099743,25.49473655640861,4.177513903638388,53.284295589920546
legacy_chi_condensate,theta_scan_25_45,500,-0.9269669193018528,0.29669274532121087,-1.2236795391484157,-0.8929886873387181,-0.6524819882846125,-2.082840447694238,-0.2259319122798775,3.1199514405076867,0.0952892743294454,3.0239315803151956,3.1151544135547162,3.2094013376842834,2.883855791446428,3.454218974892429,1.0081945959959349,0.00840603320356188,1.00015116343146,1.0082079182945614,1.015923258813682,0.9782181343844347,1.0353515852785506,-1.0945767746894683,0.43976769154653156,-1.5167373817590961,-1.0626462763134723,-0.7033778496237659,-2.6061482899749655,0.13605905096575138,44.31274632122017,34.51649031732193,15.714409173313973,35.83691741723112,73.71629724765312,0.0007015193187134594,215.5649918127674,0.5455626457202837,0.17575080767986878,0.3818426392390948,0.5240698930001078,0.71215072228935,0.19478050466313096,1.2003790385155821,17.674080317422007,11.717529642374018,7.824366482877778,14.829923500906574,27.242936734256908,2.0404280637086365,77.80389488456795
lattice_fperp_s,theta_fixed,500,-1.5094157959740118,0.2864941847304376,-1.779038020641915,-1.5021351565090142,-1.239048566793851,-2.8185181704817963,-0.5586453853667711,3.119681877597935,0.09722723537433099,3.0194162515018306,3.1149617114295607,3.218856640693981,2.8677779848617355,3.5540082359986203,1.0077939036757673,0.00851420975222163,0.9989503266336247,1.0075695092710046,1.016412869587168,0.9842346674194711,1.0395502047373621,-1.8774070819951094,0.40702473951785034,-2.247881061605511,-1.8913535964795325,-1.5048125641658703,-3.5004678915575793,-0.1814793895489854,117.5340058342008,49.13589081164802,71.936935750312,113.37862856113279,161.22013645903183,1.0470914214486402,390.43623613626454,0.7851022519899673,0.15414662386409272,0.6376599263216992,0.7595847201020864,0.9399327404293154,0.42951183147022615,1.4405657560386544,34.43500186511908,14.094287445083234,21.895324793436412,31.0202610177696,47.62231646973231,9.951327795993473,111.60373665779294
lattice_fperp_s,theta_scan_25_45,500,-1.5234649355747234,0.2974473079513946,-1.8117212119705526,-1.4895163760541772,-1.2469286693123336,-2.7228001618323177,-0.8067670885859628,3.115464849731479,0.10417872214530113,3.0070707620823542,3.1136370870466443,3.2190960350820528,2.8665621126707115,3.4399565165562263,1.0083099347331188,0.008318407621110994,0.9999239700751416,1.0087577996491695,1.0167945626133643,0.9881112264373814,1.0318582476254652,-1.8889858321397692,0.43639485886128554,-2.3017763699994473,-1.8724581707363521,-1.4939173940071526,-3.564010483287595,-0.6784686999046938,119.71574101160836,55.36009364174807,71.15521101900708,111.5870256643725,169.30482878037802,14.626239355864337,401.31330969058035,0.7593307128469041,0.23586490833235052,0.5408043684253413,0.7242240233915844,0.9801624812076523,0.28241304889642216,1.5873639591109694,34.00520392856969,21.637621943559747,15.69709538041786,28.227757423074337,51.57364195976372,4.270844586503513,134.72100513136513
