M2,s0,gA_star,width_A_keV,qcd_side,pert,heavy_local,twist2_chi_phi,twist4_2p,twist3_2p_f3g,twist4_3p_F2,twist3_3p_F3,F2_integral,F3_integral,theta_deg,g1_2460_axial_only,g2_2536_axial_only,Gamma2460_axial_only_keV,Gamma2536_axial_only_keV,fV_Dsstar_GeV,fA_GeV,f1_GeV,f2_GeV,chi_effective,fperp_s_used_GeV,omegaA,omegaV,gB_soft,fB_eff_GeV,ratio_tensor_da,ratio_vector_da,qcd_B_soft,qcd_tensor_family_A,qcd_f3_family_A,g1_2460_softAB,g2_2536_softAB,Gamma2460_softAB_keV,Gamma2536_softAB_keV,gB_hard,qcd_hard_tensor,gB_total,g1_2460_fullAB,g2_2536_fullAB,Gamma2460_fullAB_keV,Gamma2536_fullAB_keV,scenario,ensemble
3.6256765330355587,8.200518227710354,-0.6345842040598526,12.871533719483713,-0.03468073421421934,0.015586581526896693,-0.006548556508954356,-0.04712040560480995,-0.001509396795602021,0.002711608582357894,-0.0005121739964656632,0.0027116085823580575,-0.1562500000000002,-1.5311309182818995,35.3,-0.22136255306059058,-0.30271541575714095,1.5662464288686597,4.9200078817230715,0.21712667865158392,0.20648565685016973,0.34205491868325016,0.35327100224000485,3.1619521508743524,-0.03816014368293674,-2.773740348067453,1.49755742586669,-1.1975616960103745,0.45823539420035736,3.0674829798140326,1.0139783187203897,-0.1452431515691108,-0.04914197639687763,0.005423217164715952,-1.5307074779630634,0.5949187724257136,74.89213153894696,19.002558093196463,0.1645445433659292,0.01995635642955696,-1.0330171526444454,-1.350803959426756,0.4715841600243206,58.32254053058511,11.940297318808117,legacy_chi_condensate,theta_fixed
3.381487662385166,7.973073375903518,-0.01951715949539586,0.012162946110250998,-0.0009140442061398857,0.014540880920984704,-0.005218576736928227,-0.03462386530564032,-0.001260757852536914,0.013028284830307027,-0.00040829489263313214,0.013028284830306977,-0.1562500000000002,-5.4252682553106135,35.3,-0.007313815928799657,-0.009190610274048524,0.0017080225970436895,0.004544709030886679,0.19139872731034133,0.22285087338101253,0.343643215045136,0.3862335382372474,3.0771014230582256,-0.0306194891664313,-2.768603349707602,4.268434087207037,-0.9108215497664871,0.46328647072348755,3.164938116855642,1.0049738537140571,-0.08867866848453188,-0.03629291805081037,0.026056569660614003,-1.0094771813253918,0.6221355423209243,32.53857825626982,20.825115024642596,0.19490733538841007,0.018976409796785682,-0.715914214378077,-0.7950235474347477,0.4870376208950971,20.182062377584423,12.762695310313553,legacy_chi_condensate,theta_fixed
4.249603033740471,8.05376341007809,-0.4713819343302807,7.080481287019419,-0.03406978501096678,0.01877736854079962,-0.006667227352279965,-0.05945476352352355,-0.0009878746168063793,0.007392167676849267,-0.0005216234128551004,0.007392167676849325,-0.1562500000000002,-3.693366065622989,35.3,-0.20693356488368794,-0.2693310287882749,1.3645164945705925,3.905018201418388,0.188806176738189,0.25378505842977667,0.3340633962275014,0.3625066475388467,3.5546440931023744,-0.041363116323291635,-2.359807868941542,3.173124357017887,-1.419856104940963,0.4644298682055969,3.323578014850318,1.0023976839064812,-0.18779969587310608,-0.06096426155318503,0.01478433535369859,-1.8179462663984771,0.7818302343770938,105.31227529648345,32.90600843949582,0.1924722218357235,0.025457667575597615,-1.2273838831052395,-1.5995613237362658,0.639337383781155,81.53023614381287,22.00444816017419,legacy_chi_condensate,theta_fixed
3.21270406366644,8.460490830066172,-0.4569726251850187,6.621936550375217,-0.022147221053514098,0.012941522765474908,-0.005541269314482129,-0.03976646525732029,-0.0015466528074230376,0.006099463432809539,-0.00043328330538251243,0.006099463432809432,-0.1562500000000002,-3.5864445169072137,35.3,-0.1957821364779041,-0.20508667200139566,1.2154882723756009,2.253233283067669,0.20416763436319943,0.2345978235460117,0.3164185584451421,0.4266189149412753,3.3818846436305123,-0.036605003435706496,-1.563321774836523,3.3625866204106036,-1.2746352981539097,0.4415393420231201,3.0836561828230864,1.0216873399536577,-0.11626805955597926,-0.04174640137012584,0.012198926865618971,-1.6474149641018772,0.5572311766020625,86.06184634634566,16.63420677991672,0.17791119873838893,0.01622847718131602,-1.0967240994155207,-1.444798782936468,0.4508282843699547,66.19411502357953,10.888137402965064,legacy_chi_condensate,theta_fixed
3.105072460970554,7.62504849292492,-0.4336456136777556,5.983590509074173,-0.019641661157029987,0.012832401593857486,-0.005613899199240569,-0.0355743296456586,-0.0015988495361042392,0.005376125183015162,-0.00043923473591446114,0.005376125183015233,-0.1562500000000002,-2.8219255376118904,35.3,-0.15280380447481146,-0.24111854394763885,0.742951191617092,3.1407417093455825,0.2226071950342631,0.2127116282659107,0.34882923087293677,0.31221873428647545,3.1756409101986387,-0.03545150225054362,-2.7045281621934567,2.4385265504593447,-1.006248297997045,0.4925799059128999,3.0932242812051514,1.0043993135026559,-0.10554407911864837,-0.03761241391767729,0.010752250366030395,-1.3124683004874091,0.6762497780833566,54.811235883721416,24.705023336114504,0.15671155774807857,0.016437272075583088,-0.8495367402489665,-1.1318639407115796,0.5333802506909828,40.76433832872309,15.368973422863144,legacy_chi_condensate,theta_fixed
3.6193215902624662,8.334290024697843,-0.45291388622914314,6.55321584181098,-0.03400765912020311,0.015567150426973556,-0.007155072374025731,-0.06098305686182956,-0.0015299867052152084,0.010326469672116284,-0.0005596329503386069,0.010326469672116161,-0.1562500000000002,-6.3391756609111765,35.3,-0.148175799546722,-0.19484264313740382,0.7014193759661127,2.0534930828845614,0.29641533643717305,0.20824853108380706,0.3678249219241889,0.3950726376284832,3.708437542504128,-0.04907156651336237,-2.1705125915569115,5.1176873839065795,-1.1959004761870184,0.4209985209785206,3.2097062921192108,1.0125488254456296,-0.1815326572036426,-0.06307267651738337,0.020652939344232443,-1.2652906848734942,0.5415670644355353,51.14507519586651,15.864621277731779,0.13359438992757894,0.020279065920582835,-1.0623060862594396,-1.1404974562094488,0.45930252187625237,41.55390493239194,11.410978301687736,legacy_chi_condensate,theta_fixed
4.057283362808491,8.198981078899049,-0.362994978191921,4.197119217685302,-0.016707021031153013,0.01879279234722301,-0.005406404981988027,-0.04161347192792556,-0.0009438254243487704,0.006443510725468766,-0.0004231324950514166,0.006443510725468989,-0.1562500000000002,-3.180862912556556,35.3,-0.09074064332591618,-0.12440515852487409,0.26227311811979565,0.8326889478767161,0.20483214298552987,0.1579542216879093,0.36513280095730105,0.3761463458141574,3.13630222373594,-0.029954419476271095,-3.4925303989079013,2.4311034937373632,-1.0083026824112395,0.4196742689429752,3.1671956377092942,0.9952138557104753,-0.1233020876125091,-0.04298042984732575,0.012887021450937754,-1.0365765514720766,0.5256755313598152,34.225738858117786,14.86762324168188,0.209670236737387,0.025639897970027095,-0.7986324456738525,-0.8398958897669201,0.3904953175964492,22.469891920326766,8.20422729322529,legacy_chi_condensate,theta_fixed
3.8144724813672704,7.991362227173256,-0.3434540784068546,3.7635450718585344,-0.0228331258772883,0.01676228742806129,-0.006887567690483358,-0.04628729756070108,-0.0015066764188934087,0.007812449965898353,-0.000538771567068043,0.007812449965897953,-0.1562500000000002,-2.7257690267332118,35.3,-0.13576987557009118,-0.17684766869535734,0.5881208899413146,1.68614436717098,0.20946250529191363,0.24228307178582004,0.35416788414737693,0.3840217224944621,2.9002539348842156,-0.035958095713868175,0.16577351389098327,3.32691581252946,-1.108977907689917,0.42405419350787915,2.9961285378772873,1.0094811741782135,-0.12903807591675018,-0.04833274554666254,0.015624899931796304,-1.2194433952297643,0.5307873446763162,47.44419228569146,15.189280320308955,0.1850935702894364,0.02153705498467775,-0.9238843374004807,-1.0385732449850642,0.412679769964017,34.41391063278583,9.181686021181857,legacy_chi_condensate,theta_fixed
3.7038450569889734,7.552204381445793,-0.18374362654894247,1.0704198457520784,-0.007988881127763985,0.015378767173951747,-0.007467515737870949,-0.041452658120383436,-0.0017495655228354807,0.013943070587912026,-0.0005840500964496296,0.013943070587911733,-0.1562500000000002,-4.970131954133892,35.3,-0.06168441546590981,-0.07086056673200943,0.12063698983858545,0.26969314386798665,0.17972058257410897,0.19243299235824485,0.33123575576597675,0.4072401388828465,2.5138021663501977,-0.03421327591537339,-1.3249396982619226,4.42600282351889,-1.0427297681779695,0.43211311434443445,2.9705876095221644,1.0136687344889337,-0.10180365280272809,-0.04378627373966854,0.02788614117582376,-1.1718695024052936,0.5684906413014995,43.539966324494834,17.3583044895241,0.19755861980790881,0.019288016658672615,-0.8451711483700607,-0.9615306013779337,0.4473572987171328,29.312698823971704,10.74904095927081,legacy_chi_condensate,theta_fixed
4.3798021649174155,8.159550212776905,-0.08514118440126991,0.23183160000784855,-0.006990881989864051,0.01962997479219462,-0.006730999674778896,-0.04572203126135282,-0.00101637140428881,0.013687555973579848,-0.0005265663887973274,0.013687555973579337,-0.1562500000000002,-2.794958532033914,35.3,-0.03238853409114513,-0.04710353878635155,0.03354871129482853,0.11943602667006151,0.2387475845672893,0.21978663682832897,0.333864718115885,0.3242282230905455,2.653673553913181,-0.030661402043901862,-0.12191361993254013,3.2802215272465483,-0.6872440822494578,0.4822820700450215,3.201828504347368,1.0049570223888296,-0.12382351418562094,-0.04726496905443896,0.027375111947159185,-0.8426123037900242,0.5436171166079601,22.70642961328224,15.907961109146028,0.1459367927076421,0.026294015457930853,-0.5413072895418156,-0.6705606828603439,0.4181771454812095,14.380349104384791,9.41345092176323,legacy_chi_condensate,theta_fixed
