M2,s0,gA_star,width_A_keV,qcd_side,pert,heavy_local,twist2_chi_phi,twist4_2p,twist3_2p_f3g,twist4_3p_F2,twist3_3p_F3,F2_integral,F3_integral,theta_deg,g1_2460_axial_only,g2_2536_axial_only,Gamma2460_axial_only_keV,Gamma2536_axial_only_keV,fV_Dsstar_GeV,fA_GeV,f1_GeV,f2_GeV,chi_effective,fperp_s_used_GeV,omegaA,omegaV,scenario,ensemble
3.565851257027624,8.326708154201798,0.6263247979039607,12.622268811219541,0.04112113212798874,0.014759932379733193,-0.004852809884396552,-0.03608393833479279,-0.001071371373866194,0.034374400492083935,-0.00037948164285604003,0.034374400492083186,-0.1562500000000002,-8.6640476063482,35.3,0.22884393762419905,0.34090660353746066,1.6850664617109778,6.25983278828924,0.24907091047866017,0.2215852487213088,0.35044663016540595,0.33225262417824036,3.2704564938135396,-0.029528571209833033,-1.5049030842490168,6.992799491986669,legacy_chi_condensate,theta_fixed
4.124487322284355,8.30334448952421,-0.5808221218133328,10.787333807763147,-0.046471177692231774,0.017742940046255394,-0.005905069504655722,-0.04517947689303651,-0.0010759153540579132,-0.005795941826183123,-0.0004617723343707221,-0.00579594182618318,-0.1562500000000002,-3.8199868623188813,35.3,-0.1916857704825459,-0.2645615017480161,1.1749180331792373,3.7578571453152456,0.28218237664438495,0.19519085528053384,0.34176972506090414,0.3497352040346578,3.0821957760925827,-0.03177811580165079,-2.68755510314825,3.153916734377158,legacy_chi_condensate,theta_fixed
4.112769458799322,8.279497717355264,0.05486657255211375,0.0961521501171939,0.00355737855075821,0.01800852331445038,-0.0054427425037462986,-0.037835805705169104,-0.0009990819823261314,0.015126075259342241,-0.00042566509113501787,0.01512607525934214,-0.1562500000000002,-6.185525878404026,35.3,0.021501550845434547,0.029004996127338364,0.014766681533583435,0.045290604387620885,0.2002756114091368,0.22364921105045169,0.3297814810144352,0.34527550658896217,2.8093158332415853,-0.02672633575755646,-2.4436963699654197,4.9173640568764245,legacy_chi_condensate,theta_fixed
3.9050672802083977,8.122644715468017,-0.26277430902823584,2.2069810425954937,-0.018950834783715453,0.018151478438803357,-0.0061216561097280405,-0.038849141575900775,-0.0012070285809216512,0.004777333770872404,-0.00047915449771329834,0.004777333770872549,-0.1562500000000002,-2.6292818667720583,35.3,-0.12133018794366777,-0.13991330642582783,0.47051181973485895,1.0547610381284611,0.18191541693622648,0.2931281430840053,0.36685327213497926,0.44930865135730264,2.666324677775059,-0.029190151369681856,-2.930246101726559,2.226296182462198,legacy_chi_condensate,theta_fixed
4.023309692794418,8.236919621355437,-0.3690823612415033,4.355742165779525,-0.021731291085212684,0.018674208981826958,-0.006145054797693146,-0.04671996877815485,-0.0011104492639900027,0.007025448052390067,-0.00048092333198145786,0.007025448052389741,-0.1562500000000002,-1.8257230148348702,35.3,-0.12872131194291486,-0.18414259729733828,0.5298055438127103,1.826746092941607,0.20743527324269087,0.20174553816458163,0.3342701677446534,0.33001702560087226,3.110036247741925,-0.033830507280194176,-0.13792245343162168,2.585651103849761,legacy_chi_condensate,theta_fixed
3.077783259596204,7.7426658918232825,-0.20519142099948498,1.345478721789191,-0.009018489837035237,0.012642963998632057,-0.004972381329727105,-0.03378470980118164,-0.0014556071198582635,0.00947011809437237,-0.0003889917736449409,0.00947011809437228,-0.1562500000000002,-2.8365862833477746,35.3,-0.07575644801073411,-0.08561429410040983,0.18339928713529816,0.39437294097516223,0.214998085163686,0.21704952422894427,0.3397185653660396,0.4245561519602723,3.4074399266302158,-0.03385299631118662,-1.792335655699052,2.7530161384808194,legacy_chi_condensate,theta_fixed
4.287488903886384,8.494604356412347,-0.3122949642879594,3.119882125708237,-0.0260105081938339,0.020686454949487714,-0.006103803825874837,-0.048755743126493556,-0.0010164811683154406,0.004828409129141306,-0.000477753280920797,0.0048284091291417065,-0.1562500000000002,-1.6807655339643384,35.3,-0.15175348740755398,-0.1910848788522429,0.7366913725175522,1.9532539851168027,0.20832784641374502,0.26222949500215675,0.31183774948533394,0.3497708237988459,3.1023905997238552,-0.032645462003850274,-3.3442867783194243,1.413782120267961,legacy_chi_condensate,theta_fixed
4.146221792646943,7.5285794418561895,0.035662411783161034,0.04052009577443511,0.0028444816855984316,0.01741762146068347,-0.00643609269772692,-0.05511267769966359,-0.0011585868865383634,0.02431881414059106,-0.0005034107723382131,0.02431881414059099,-0.1562500000000002,-4.9203737425214005,35.3,0.015764609964580113,0.02347639860556671,0.007918000101116452,0.029647014213519337,0.20071231223673772,0.2717053776041278,0.35517841269457145,0.3368533346200177,3.6234154002656944,-0.040649813836802086,-2.3255643492101266,4.057077656056113,legacy_chi_condensate,theta_fixed
3.5005298729778502,8.416432442865936,-0.3552206328785197,4.009826366984379,-0.019708679965012993,0.01575349502526344,-0.004776703083841556,-0.03949069296673066,-0.0011838213702158016,0.005181377999426007,-0.0003737135683403003,0.005181377999425875,-0.1562500000000002,-3.1630293730621335,35.3,-0.1344610172916364,-0.21732300639092975,0.5745422690299804,2.535516978926588,0.19945421853736353,0.24029976770447198,0.36683941299551864,0.3205599130491187,3.679061817931542,-0.032918864855520556,-0.9730562170037629,3.258246592953942,legacy_chi_condensate,theta_fixed
3.020308400893878,7.504708855135893,-0.1768508544902666,0.9830823199525152,-0.008270840138467897,0.012116628486294918,-0.005741763406509208,-0.03867118928215519,-0.0018633766665749815,0.01316899933173762,-0.0004491379329987244,0.013168999331737668,-0.1562500000000002,-3.443387988965002,35.3,-0.06707908714352355,-0.09253101768526459,0.14143270519304196,0.459108050718825,0.23194729520337262,0.22105352435933112,0.3367738098417087,0.34481063202534107,3.4823569483769568,-0.04046686101637558,-2.782558987945711,2.8544451295041315,legacy_chi_condensate,theta_fixed
