scenario,ensemble,n,g1_2460_axial_only_mean,g1_2460_axial_only_std,g1_2460_axial_only_p16,g1_2460_axial_only_median,g1_2460_axial_only_p84,g1_2460_axial_only_min,g1_2460_axial_only_max,Gamma2460_axial_only_keV_mean,Gamma2460_axial_only_keV_std,Gamma2460_axial_only_keV_p16,Gamma2460_axial_only_keV_median,Gamma2460_axial_only_keV_p84,Gamma2460_axial_only_keV_min,Gamma2460_axial_only_keV_max,g2_2536_axial_only_mean,g2_2536_axial_only_std,g2_2536_axial_only_p16,g2_2536_axial_only_median,g2_2536_axial_only_p84,g2_2536_axial_only_min,g2_2536_axial_only_max,Gamma2536_axial_only_keV_mean,Gamma2536_axial_only_keV_std,Gamma2536_axial_only_keV_p16,Gamma2536_axial_only_keV_median,Gamma2536_axial_only_keV_p84,Gamma2536_axial_only_keV_min,Gamma2536_axial_only_keV_max,gA_star_mean,gA_star_std,gA_star_p16,gA_star_median,gA_star_p84,gA_star_min,gA_star_max,fV_Dsstar_GeV_mean,fV_Dsstar_GeV_std,fV_Dsstar_GeV_p16,fV_Dsstar_GeV_median,fV_Dsstar_GeV_p84,fV_Dsstar_GeV_min,fV_Dsstar_GeV_max,chi_effective_mean,chi_effective_std,chi_effective_p16,chi_effective_median,chi_effective_p84,chi_effective_min,chi_effective_max
legacy_chi_condensate,theta_fixed,500,-0.07856065054046737,0.1318683963290919,-0.19653792362253994,-0.09525359420954513,0.05024845385761255,-0.45983508047359534,0.492608704106937,0.7493071477230674,0.9699624236756696,0.04896544172952722,0.4115242563590062,1.3886611698120266,7.606165991394687e-06,7.740036846127314,-0.10232603461313773,0.17470731834819292,-0.26089176411495424,-0.1205678894665731,0.06753809544670372,-0.6419332676485185,0.7290393467736612,2.2020650301011764,3.092393051458811,0.14551139166551597,1.1644719684506488,3.9877263429163277,1.7938934017156634e-05,28.556207822446304,-0.21116208142340964,0.35615803287112935,-0.5107493185123395,-0.2578942391087973,0.1337619138420845,-1.2100029659084752,1.2421876844044528,0.2249124484909035,0.028529535755021665,0.19699179651977664,0.2257173513675514,0.25539788609220926,0.15,0.29736976339326876,3.148414766926183,0.3023731419942107,2.8223059141633415,3.1439074816737897,3.452570936707088,2.3527892312191248,4.126396707220102
legacy_chi_condensate,theta_scan_25_45,500,-0.06908273534087368,0.1299004342361668,-0.19276585224426138,-0.08520225417136584,0.05348695551322179,-0.40889262124619236,0.5041651369420086,0.6881202043344893,0.8861425387729038,0.03621239901310405,0.41013870295138444,1.3232623669626498,1.622714309719761e-05,8.168072388937551,-0.08875080915237243,0.17634475689307968,-0.25163446769166414,-0.11157167234227246,0.07551802686012173,-0.6709544731272391,0.4947413271765286,2.0932962659957997,2.720413106727466,0.11216182670884334,1.2278911731552158,4.033329631435809,4.7083069512749604e-05,24.228204161263562,-0.18628407895313273,0.35607070987210077,-0.5347826714328048,-0.22914541513569847,0.1592646918261797,-1.2684844195613783,1.1460956577147157,0.22634689136778383,0.028340989226160185,0.19671040396287692,0.22664550892263796,0.2544817559068524,0.15,0.3010392776033302,3.1344724450171646,0.29131811458376217,2.850378605661794,3.1188707325430367,3.4254066079623198,2.3559837019363483,3.9853567453000505
lattice_fperp_s,theta_fixed,500,-0.2228390322736012,0.11570121617548228,-0.33199675368799675,-0.2317376112134204,-0.11796117940755624,-0.556714829733769,0.26299989114838535,2.006280739572618,1.543035844244263,0.5017220824038152,1.7176132820727548,3.502095225626093,6.762760753539455e-06,9.891928146234978,-0.2913424862665897,0.15620859817680463,-0.43354759047858604,-0.3031700807268044,-0.1532524581888326,-0.6930200146291399,0.42977591441342144,5.875914970421638,4.792256408228787,1.3966646040897925,4.990368923586719,10.083205394105732,2.3722303673496957e-05,25.767060559143538,-0.5947157531328565,0.3226277788325085,-0.8967996429338697,-0.6138007298754377,-0.3108905724524082,-1.7034341379332032,0.7413277201100674,0.22802600532496894,0.02769138307826751,0.20141026024192976,0.22678827101133864,0.2561679849086045,0.1508363561249259,0.32,5.047524346789627,0.9380384388332905,4.127978227725424,4.919728363959248,5.895304071359466,2.778986411420503,10.327485500098787
lattice_fperp_s,theta_scan_25_45,500,-0.22687250713635773,0.12376553056463231,-0.3427074593747361,-0.22365816339950495,-0.11324535642890515,-0.5815418911787159,0.21542564280837725,2.1270943375516196,1.884677955910644,0.42241810591102613,1.587885258058484,3.744571412645688,3.374468443609808e-05,10.739676830974675,-0.29894892846053794,0.15837507765836484,-0.44872184502736623,-0.29915699452346967,-0.1574073851164853,-0.7756806116195294,0.24007940752329698,6.156210059211033,5.296685467710706,1.3659690539065568,4.819736196180153,10.823883658716637,7.12336949425409e-05,32.510353538013405,-0.6192536709631429,0.3322400760708064,-0.9133646371655153,-0.6338658419408653,-0.3259246507977828,-1.5761140486309602,0.5812987840415669,0.22790076585211114,0.028571535395440738,0.1988263591827763,0.22757628178372996,0.25727579501362907,0.15,0.32,5.10219649266771,0.9922990741041637,4.1759727910696745,4.960710109967376,5.955704761763524,3.0954047289335556,8.993647176722382
