sector,state,M2,s0,Pi,mass_sr,f,pc,d5frac,offdiag,accepted,rejection_reason
D,Ds1_2460,2.0,7.5,0.043785192594897056,2.436366847977611,0.3860058290610138,0.6035259158904304,0.023281487190223788,0.27517545287079326,True,
D,Ds1_2460,2.0,7.75,0.04594376642763079,2.4525871090779123,0.395406248892148,0.6332792450917177,0.022187654164690228,0.28228244526637775,True,
D,Ds1_2460,2.0,8.0,0.04797219375023332,2.468555655919368,0.4040406120673557,0.6612386620804087,0.021249484770844346,0.28904227062656707,True,
D,Ds1_2460,2.0,8.25,0.04987366776754033,2.4841813957149026,0.4119702781977493,0.6874481813225557,0.020439330936535435,0.2954478286009914,True,
D,Ds1_2460,2.0,8.5,0.051652132091160416,2.4993979837110523,0.4192512414805731,0.7119621607338592,0.01973557255527176,0.30150003462212427,True,
D,Ds1_2460,2.2,7.5,0.05728170551271111,2.426831726040855,0.3847965731133493,0.5521278875389801,0.02004704083622308,0.2752481242807299,True,
D,Ds1_2460,2.2,7.75,0.060334283141578515,2.4448447853783786,0.3949165224853426,0.5815511252496888,0.0190327725762017,0.2830033072589453,True,
D,Ds1_2460,2.2,8.0,0.06323558807622545,2.462577102329108,0.40430024679887594,0.6095162731155734,0.01815953206915077,0.29039157136269,True,
D,Ds1_2460,2.2,8.25,0.0659863849504541,2.479948473106747,0.4130003252821344,0.6360307013020677,0.017402509478948534,0.2974084997394202,True,
D,Ds1_2460,2.2,8.5,0.06858862623191277,2.496900156149011,0.42106513042701704,0.6611132292878952,0.016742261110451174,0.30405703332843786,True,
D,Ds1_2460,2.4,7.5,0.07156159252980418,2.4216591910806375,0.3835371053987732,0.5045384704000414,0.017507563716847446,0.2756488495374243,True,
D,Ds1_2460,2.4,7.75,0.07563620954035227,2.4411538707320237,0.3943049835041845,0.53326618538363,0.016564409407986123,0.2839525369376328,True,
D,Ds1_2460,2.4,8.0,0.07954574554066132,2.4603547069046323,0.4043671491173844,0.5608300117860163,0.015750297295965287,0.2918726492196668,True,
D,Ds1_2460,2.4,8.25,0.08328773187411093,2.479189263110918,0.41376895787283113,0.5872125445692298,0.015042661298404997,0.2994072145722535,True,
D,Ds1_2460,2.4,8.5,0.0868613087986934,2.4976042780437018,0.42255239957631996,0.6124077222007897,0.014423788430338123,0.3065610663240248,True,
D,Ds1_2460,2.6,7.5,0.08634001955456234,2.418959590420311,0.3823599232491125,0.46098690675639475,0.015497516913272039,0.27623649972074427,True,
D,Ds1_2460,2.6,7.75,0.09154254255338477,2.439697997693625,0.3937112093081423,0.4887642340830414,0.014616765888480274,0.2850068146394343,True,
D,Ds1_2460,2.6,8.0,0.09657443808038177,2.460137761832792,0.404387189636986,0.5156305466699386,0.013855176793525477,0.2933792328203553,True,
D,Ds1_2460,2.6,8.25,0.10142942250498603,2.480212322115161,0.4144272183274349,0.5415522949367947,0.013191989861455564,0.30135399585393813,True,
D,Ds1_2460,2.6,8.5,0.10610320047819789,2.4998726191719975,0.4238679080643692,0.5665065451425818,0.012610891163589476,0.30893767802091354,True,
