state,uncertainty_definition,accepted,g_median,g_p16,g_p84,width_median_keV,width_p16_keV,width_p84_keV,f_initial_median_GeV,f_initial_p16_GeV,f_initial_p84_GeV,f_vector_median_GeV,f_vector_p16_GeV,f_vector_p84_GeV,branching_central
Ds1_2460,16th-84th Monte Carlo percentiles,1200,-0.0609426394898914,-0.2204846747310255,0.1129512419058144,0.4823058047831131,0.0478837832851323,2.0915972549346,0.4036805450610539,0.3852314915851433,0.4233808192574111,0.2534861824862019,0.2436881465366605,0.2618411550734545,
Ds1_2536,16th-84th Monte Carlo percentiles,1200,-0.0165522941130868,-0.0859148805128113,0.0418393074865149,0.0937877397471405,0.0043926328260376,0.613869812703207,0.1656092230946677,0.1538804743694906,0.1792848967716521,0.2534861824862019,0.2436881465366605,0.2618411550734545,0.0001019431953773
Bs1_lower,16th-84th Monte Carlo percentiles,1200,-0.5479314291826936,-0.8864919847556274,-0.2277642404930665,1.5886179631899964,0.2908542341195186,4.291122641169632,0.5008917818621961,0.4839077043360183,0.5186971825160512,0.299764712229458,0.2906514166071958,0.3084092151214305,
Bs1_5830,16th-84th Monte Carlo percentiles,1200,-0.4835979950735479,-0.9082455895371336,-0.1978193903047481,2.331957248263537,0.4070171196157947,8.066743646336755,0.0976017854023093,0.089282143466724,0.1118970349948728,0.299764712229458,0.2906514166071958,0.3084092151214305,0.004663914496527
