s0,g,g_low,g_high,width_keV,width_low_keV,width_high_keV
36.0,-0.5509679952922274,-0.8803318674235079,-0.22160412316094696,1.628979499459943,0.0,3.6291137029849994
37.0,-0.5491025494273549,-0.8784664215586353,-0.2197386772960745,1.6179675030546672,0.0,3.618101706579724
38.0,-0.5474195510833514,-0.8767834232146319,-0.21805567895207095,1.6080645675104772,0.0,3.608198771035534
39.0,-0.5459112466273258,-0.8752751187586063,-0.2165473744960454,1.5992153785224077,0.0,3.599349582047464
40.0,-0.5445669633839821,-0.8739308355152626,-0.2152030912527017,1.5913490758753381,0.0,3.5914832794003946
