M2,g,g_low,g_high,width_keV,width_low_keV,width_high_keV
5.0,-0.9210604949984368,-1.2504243671297173,-0.5916966228671563,4.5523871133279235,2.552252909802867,6.55252131685298
5.4,-0.7316877495600762,-1.0610516216913566,-0.4023238774287958,2.8728598643380847,0.8727256608130283,4.872994067863141
5.8,-0.5992016190025822,-0.9285654911338626,-0.26983774687130174,1.9266766346317352,0.0,3.9268108381567917
6.2,-0.5028755966322245,-0.8322394687635049,-0.17351172450094404,1.3570129620967213,0.0,3.357147165621778
6.6,-0.43057354754858695,-0.7599374196798674,-0.10120967541730652,0.9948499096981089,0.0,2.9949841132231656
7.0,-0.3748350078696394,-0.7041988800009198,-0.04547113573835898,0.753951075021994,0.0,2.75408527854705
