s0,g,g_low,g_high,width_keV,width_low_keV,width_high_keV
38.0,-0.5504745111039333,-0.905687610720126,-0.19526141148774057,2.967387589473545,0.0,6.797250852834026
39.0,-0.548957789320096,-0.9041708889362887,-0.19374468970390324,2.95105803771882,0.0,6.7809213010793
40.0,-0.547606004094851,-0.9028191037110438,-0.1923929044786583,2.9365422220472577,0.0,6.766405485407738
41.0,-0.5464068183317902,-0.9016199179479829,-0.19119371871559743,2.9236950150033545,0.0,6.753558278363835
42.0,-0.5453472180115295,-0.9005603176277223,-0.19013411839533678,2.9123666630261806,0.0,6.742229926386662
