state,observable,scan,fixed_value,minimum,maximum,relative_variation,central_slope,points
Ds1_2460,coupling,M2,6.75,-0.0560225756679903,-0.03874569602851668,0.3984453327014351,0.007153466131507975,6
Ds1_2460,width,M2,6.75,0.04782653421635193,0.09998805498105148,0.8708335262527092,-0.019909230789114555,6
Ds1_2460,coupling,s0,5.0,-0.04561355563404906,-0.044105025571783266,0.03362923735194194,-0.0015088399101886693,5
Ds1_2460,width,s0,5.0,0.06197237398269888,0.06628417135000325,0.06726086755352817,0.004312570927073869,5
Ds1_2536,coupling,M2,7.25,-0.021071116429789535,-0.014463200206453206,0.4074801198921126,0.0027259977270143814,6
Ds1_2536,width,M2,7.25,0.011255364929561966,0.02388943498846314,0.8928865688255465,-0.004793357677596329,6
Ds1_2536,coupling,s0,5.0,-0.01706562699830011,-0.016509102932869158,0.03315152393410934,-0.0005568901721292293,5
Ds1_2536,width,s0,5.0,0.014664853720558868,0.015670226822142932,0.06630336549150667,0.0010060311535586824,5
Bs1_lower,coupling,M2,38.0,-0.9210604949984368,-0.3748350078696394,1.0862040050996482,0.21078508931749299,6
Bs1_lower,width,M2,38.0,0.753951075021994,4.5523871133279235,2.7991155165069053,-1.1647834061670277,6
Bs1_lower,coupling,s0,6.0,-0.5509679952922274,-0.5445669633839821,0.011693100649360296,0.0015956514000145363,5
Bs1_lower,width,s0,6.0,1.5913490758753381,1.628979499459943,0.023401065072195616,-0.00937606226612957,5
Bs1_5830,coupling,M2,40.0,-0.9381315080914456,-0.3694441609445904,1.1340614531559916,0.21822947840392354,6
Bs1_5830,width,M2,40.0,1.3365877025894468,8.618412803273067,2.957102940263631,-2.197238058645078,6
Bs1_5830,coupling,s0,6.0,-0.5504745111039333,-0.5453472180115295,0.009363106054468467,0.001275485494152935,5
Bs1_5830,width,s0,6.0,2.9123666630261806,2.967387589473545,0.018736637271643153,-0.01368151135773255,5
