sector,state,M2,s0,Pi,mass_sr,f,pc,d5frac,offdiag,accepted,rejection_reason,pc_low,pc_high,mass_sr_low,mass_sr_high,f_low,f_high,d5frac_low,d5frac_high,offdiag_low,offdiag_high
D,Ds1_2536,2.0,9.25,0.0072350494062952,2.4341316883117843,0.1673041836100537,0.6687559551712827,0.1209811222316532,0.3176154590073088,False,d5>0.10,0.6687559551712827,0.6687559551712827,2.4341316883117843,2.4341316883117843,0.1673041836100537,0.1673041836100537,0.1209811222316532,0.1209811222316532,0.3176154590073088,0.3176154590073088
D,Ds1_2536,2.2,9.25,0.0095174191598012,2.4772188163991,0.1658099879440029,0.5998256831741506,0.0970190372346988,0.3218844430413117,True,,0.5998256831741506,0.5998256831741506,2.4772188163991,2.4772188163991,0.1658099879440029,0.1658099879440029,0.0970190372346988,0.0970190372346988,0.3218844430413117,0.3218844430413117
D,Ds1_2536,2.4,9.25,0.0120458498301362,2.5101987507857846,0.1651609393271189,0.5368449998993234,0.0801477087807228,0.3258434714010507,True,,0.5368449998993234,0.5368449998993234,2.5101987507857846,2.5101987507857846,0.1651609393271189,0.1651609393271189,0.0801477087807228,0.0801477087807228,0.3258434714010507,0.3258434714010507
D,Ds1_2536,2.6,9.25,0.0147729301368166,2.536142649362699,0.165003122781037,0.4802273596724999,0.0678644356793718,0.3294596347464524,True,,0.4802273596724999,0.4802273596724999,2.536142649362699,2.536142649362699,0.165003122781037,0.165003122781037,0.0678644356793718,0.0678644356793718,0.3294596347464524,0.3294596347464524
D,Ds1_2536,2.8,9.25,0.0176541982959244,2.5570285498589223,0.1651364826783033,0.4298261493011247,0.058655146032227,0.3327366914146049,True,,0.4298261493011247,0.4298261493011247,2.5570285498589223,2.5570285498589223,0.1651364826783033,0.1651364826783033,0.058655146032227,0.058655146032227,0.3327366914146049,0.3327366914146049
D,Ds1_2536,3.0,9.25,0.0206497796518034,2.574173939638979,0.1654431933103128,0.3852132748432708,0.0515722037298694,0.3356964538985361,False,PC<0.40,0.3852132748432708,0.3852132748432708,2.574173939638979,2.574173939638979,0.1654431933103128,0.1654431933103128,0.0515722037298694,0.0515722037298694,0.3356964538985361,0.3356964538985361
