sector,state,mass_initial_GeV,mass_final_GeV,theta_deg,f_initial_GeV,f_vector_GeV,M2_transition_GeV2,s0_transition_GeV2,g_central,g_mc_median,g_mc_p16,g_mc_p84,width_central_keV,width_mc_median_keV,width_mc_p16_keV,width_mc_p84_keV,branching_fraction,component_A,component_B,k_gamma_GeV
D,Ds1_2460,2.4595,2.1122,38.4,0.4044852002061445,0.25305298794070985,5.0,6.75,-0.04485769470411992,-0.06094263948989147,-0.22048467473102557,0.11295124190581449,0.06410558656373141,0.48230580478311313,0.04788378328513236,2.0915972549346,,-0.020618550577167435,-0.02423914412695248,0.3227793067696683
D,Ds1_2536,2.53512,2.1122,38.4,0.16791689853000888,0.25305298794070985,5.0,7.25,-0.016787284546468415,-0.016552294113086806,-0.08591488051281135,0.04183930748651494,0.015163228806429905,0.09378773974714055,0.004392632826037636,0.613869812703207,0.00010194319537732669,-0.06419865584507113,0.04741137129860272,0.3876433017766416
B,Bs1_lower,5.75,5.4154,35.264,0.502141648732614,0.29963399514038014,6.0,38.0,-0.5474195510833514,-0.5479314291826936,-0.8864919847556274,-0.2277642404930665,1.6080645675104772,1.5886179631899964,0.2908542341195186,4.291122641169632,,-0.22967491834760181,-0.31774463273574965,0.3248645947826087
B,Bs1_5830,5.82873,5.4154,35.264,0.09722393669699202,0.29963399514038014,6.0,40.0,-0.547606004094851,-0.48359799507354795,-0.9082455895371336,-0.19781939030474818,2.9365422220472577,2.331957248263537,0.40701711961579473,8.066743646336755,0.004663914496527074,-1.7762514086932293,1.2286454045983783,0.39867486166797944
