state,M2_min_GeV2,M2_max_GeV2,M2_step_GeV2,M2_points,s0_min_GeV2,s0_max_GeV2,s0_step_GeV2,s0_points,accepted_points,f_mean_GeV,f_grid_std_GeV,pc_min,pc_max,d5frac_max,mass_min_GeV,mass_max_GeV,offdiag_residual_min,offdiag_residual_max
Ds1_2460,2.0,3.0,0.2,6,7.5,8.5,0.25,5,29,0.4044852002061445,0.014008207259000316,0.4110797247319793,0.7119621607338592,0.023281487190223788,2.4177158527617757,2.5061674515314527,0.27517545287079326,0.3131995407845077
Ds1_2536,2.0,3.0,0.2,6,8.5,10.0,0.375,5,18,0.16791689853000888,0.00787424599829272,0.4091680731179273,0.6664015585694042,0.09701903723469885,2.4278947846204115,2.654997426496348,0.3065610663240248,0.35506780057799026
Bs1_lower,8.0,11.0,0.6,6,40.0,42.0,0.5,5,30,0.502141648732614,0.00972888285953438,0.41770403344862517,0.6582961207819271,0.0015309818623317408,5.649008199900353,5.784918063083509,0.3933591935359405,0.4576961480494987
Bs1_5830,7.0,9.0,0.4,6,42.0,44.0,0.5,5,30,0.09722393669699202,0.0018532319709405555,0.4022418706441508,0.6366932791031756,0.03673053134371957,5.729866216653032,5.896019228451457,0.3799738998973743,0.4401970303209864
