sample,sector,state,mQ,ms,ss,chi,f3gamma,omegaV,omegaA,theta_deg,M2_twopoint,s0_twopoint,M2_transition,s0_transition,f_initial_GeV,f_vector_GeV,tensor_delta,g,width_keV
0,D,Ds1_2460,1.2645676578547895,0.09373580624615313,-0.008333195293401114,-2.980223651534361,-0.004275087991598034,2.20831855179354,-3.2573972577179218,40.81057687204218,2.2830964845012,8.268751791880025,4.842779038365549,7.149756234910537,0.4233805757316711,0.2494397701091269,-0.18615715772915084,-0.00031571877052078367,3.161711241804347e-06
0,D,Ds1_2536,1.2645676578547895,0.09373580624615313,-0.008333195293401114,-2.980223651534361,-0.004275087991598034,2.20831855179354,-3.2573972577179218,40.81057687204218,2.533273043050193,8.680529691100428,4.6317847467353035,6.952474751279827,0.1633536747602142,0.2494397701091269,0.03838851232621718,-0.0005397811982578033,1.5640559369114145e-05
0,B,Bs1_lower,4.152423024389048,0.10292725133344825,-0.008241801161931066,-3.198813357246493,-0.004839299770802826,1.768422444709264,-2.2206512716073212,38.3752768902946,8.30399571028432,41.63913967026807,5.469527563315886,36.452941576742305,0.5212245681494324,0.2975283405959574,0.0227031300287606,-0.33856812592280805,0.5431271349187816
0,B,Bs1_5830,4.152423024389048,0.10292725133344825,-0.008241801161931066,-3.198813357246493,-0.004839299770802826,1.768422444709264,-2.2206512716073212,38.3752768902946,8.091855023528534,43.07071952930836,6.625740637764798,38.83468281551263,0.09237488364859056,0.2975283405959574,0.060923406582497744,-0.0963653942341963,0.0908012363080723
1,D,Ds1_2460,1.2662819158835439,0.09516897450895015,-0.011807199367124025,-3.173457950239904,-0.006808795448006794,1.6696111936340061,-2.491586726402556,35.906711321906414,2.85226306104155,7.626039514235817,5.59696479045972,6.929214336051261,0.3856551974193683,0.2467277086205037,-0.016295691576494055,-0.1434925682013099,0.6499825186428466
1,D,Ds1_2536,1.2662819158835439,0.09516897450895015,-0.011807199367124025,-3.173457950239904,-0.006808795448006794,1.6696111936340061,-2.491586726402556,35.906711321906414,2.4130107543836155,8.621694302095221,4.126465313115261,7.381856591869498,0.15533025822884972,0.2467277086205037,-0.13740005005377737,-0.11091846916938003,0.6604383239275652
1,B,Bs1_lower,4.16421796510174,0.0934592381931899,-0.008959796095817004,-2.7181695178851726,-0.0010218276040466503,5.440808313629957,-2.15228229237996,35.01989262610893,10.938104229681802,41.85581015823109,6.812818227387602,37.61198370608796,0.5139871783319752,0.2945195498505657,0.02313412529975955,-0.14259226215591309,0.07370991501849698
1,B,Bs1_5830,4.16421796510174,0.0934592381931899,-0.008959796095817004,-2.7181695178851726,-0.0010218276040466503,5.440808313629957,-2.15228229237996,35.01989262610893,7.897904421166514,43.91110174688963,5.341638978323447,38.03823767242158,0.10278833855285664,0.2945195498505657,0.0035509031453365594,-0.3652336602292294,1.3037521897021294
2,D,Ds1_2460,1.2730529888336137,0.07808870432542303,-0.013243011895112155,-3.6041595407883285,-0.004557968737998997,2.0075969893634444,-3.5734559682848417,41.22941174068516,2.739377312828223,7.626508160842446,5.362030990444805,6.781327742112778,0.38674956964467677,0.2565517566409828,0.054526745992533515,-0.2678923009926827,2.273703395223335
2,D,Ds1_2536,1.2730529888336137,0.07808870432542303,-0.013243011895112155,-3.6041595407883285,-0.004557968737998997,2.0075969893634444,-3.5734559682848417,41.22941174068516,2.374152925890657,8.82605293098331,4.996617453029117,7.62475320333818,0.16834146620747178,0.2565517566409828,-0.17540599060249115,-0.11711747396210442,0.7362898914893314
2,B,Bs1_lower,4.173779594936248,0.09800856452311567,-0.014743923847274066,-2.9159598888048595,-0.00429628999478473,1.5926211237996066,-1.0254741002300007,39.17555886804577,10.382053627152565,41.89258130727166,6.8403207431456154,37.01840256725163,0.5044625526228402,0.2997113172174165,0.08113495262818465,-0.8408936642143712,2.635849776682408
2,B,Bs1_5830,4.173779594936248,0.09800856452311567,-0.014743923847274066,-2.9159598888048595,-0.00429628999478473,1.5926211237996066,-1.0254741002300007,39.17555886804577,7.341806075525627,43.08699163468709,6.449517831363795,40.83958520523532,0.08931744028569977,0.2997113172174165,0.02400589460827773,-0.5737702392225036,3.212362411123099
3,D,Ds1_2460,1.2877630365155948,0.10233618947685699,-0.010555398572677122,-3.179548437469476,-0.0011786301338983804,0.7545786905876805,-1.851876554936106,33.37890507603213,2.59901782537481,8.076452608294147,4.660242538551849,7.19325293143167,0.39731603025979445,0.2545112307921196,0.022113177054186847,-0.239102418683816,1.8311442104016145
3,D,Ds1_2536,1.2877630365155948,0.10233618947685699,-0.010555398572677122,-3.179548437469476,-0.0011786301338983804,0.7545786905876805,-1.851876554936106,33.37890507603213,2.575879925946135,8.742225968746466,5.491539100955303,7.02772720886061,0.14170062618381563,0.2545112307921196,0.13699445599486174,-0.11861418431250105,0.7555492198753954
3,B,Bs1_lower,4.192490024027972,0.09154877580084293,-0.009352424444495341,-3.6814450413054516,-0.0040954335286549435,2.679502753661293,-2.0404176943043892,34.567225703929694,9.612130413673912,40.01995497662496,6.17908808849794,37.94587677226609,0.4891575460171825,0.29518797527982255,0.009676887014147538,-0.5678371976172493,2.0455882083464663
3,B,Bs1_5830,4.192490024027972,0.09154877580084293,-0.009352424444495341,-3.6814450413054516,-0.0040954335286549435,2.679502753661293,-2.0404176943043892,34.567225703929694,8.678336222176508,42.85276401918843,5.6786237734574865,41.60156608426024,0.09881558544449108,0.29518797527982255,0.0359334656934276,-0.6526160221134382,4.164839398357025
4,D,Ds1_2460,1.277905355071485,0.08455111493057242,-0.011597119479468402,-3.3858091588284824,-0.006007261739463779,3.3211488137310097,-1.1587588320828797,36.24336228688727,2.5921177348374376,7.67803746465247,5.247265079357085,6.549874475399653,0.39150615844654624,0.24045562358267905,-0.004647954242912965,-0.07088571366459703,0.16077891174344072
4,D,Ds1_2536,1.277905355071485,0.08455111493057242,-0.011597119479468402,-3.3858091588284824,-0.006007261739463779,3.3211488137310097,-1.1587588320828797,36.24336228688727,2.7870474875070297,8.881042256851359,4.382597805650187,6.775794461841197,0.1516494830325223,0.24045562358267905,0.06691547308207506,-0.03431836353425028,0.06341399115435763
4,B,Bs1_lower,4.196934027870956,0.06584082898849417,-0.00868876718623454,-3.278863894027155,-0.004364104553433253,1.5344750161867386,-1.599335792316821,36.27664436498765,10.360980042652772,40.01327495056606,5.171137670051641,36.976758737071506,0.49782413063649184,0.2878852262907288,-0.030843490375793772,-0.8160078019144666,4.437654971718538
4,B,Bs1_5830,4.196934027870956,0.06584082898849417,-0.00868876718623454,-3.278863894027155,-0.004364104553433253,1.5344750161867386,-1.599335792316821,36.27664436498765,8.103833574107243,42.93966771954174,6.403898072957116,39.88201247889036,0.09104307037262473,0.2878852262907288,0.06482730522072401,-0.37504851677838963,1.3613746407860106
5,D,Ds1_2460,1.265987724500211,0.09422082072470302,-0.012988395326563623,-3.215877253254576,-0.005548245919036127,6.09376300537562,-1.5358279932860142,34.33421280002021,2.2354109631268475,8.103829394081812,5.976359811398237,6.816542900284762,0.4053912135515107,0.24875894825995393,0.11373801850992613,0.15891168309561818,0.8089273777002491
5,D,Ds1_2536,1.265987724500211,0.09422082072470302,-0.012988395326563623,-3.215877253254576,-0.005548245919036127,6.09376300537562,-1.5358279932860142,34.33421280002021,2.336347878582946,9.047107341854742,4.527966361810423,6.901473772416582,0.15513474972926083,0.24875894825995393,0.042576995790839726,0.08592289844606833,0.3964264268019742
5,B,Bs1_lower,4.210657933234794,0.09478683445394535,-0.01136929352273526,-3.5145684223365325,-0.004795369666570508,2.5656057079098407,-1.6839543267971109,38.2805215243268,10.229688698967982,40.018461893756864,6.006456988214364,38.98617601140193,0.4724164555893535,0.288968242258376,-0.003286963769474148,-0.8030973266033005,3.0754218200463095
5,B,Bs1_5830,4.210657933234794,0.09478683445394535,-0.01136929352273526,-3.5145684223365325,-0.004795369666570508,2.5656057079098407,-1.6839543267971109,38.2805215243268,7.751150427360759,42.48848581325202,5.8021391821332795,38.98641758622348,0.08460695955812182,0.288968242258376,-0.037662652279035036,-0.7617007385595975,5.666139023872918
6,D,Ds1_2460,1.2744698502146998,0.10240645848795121,-0.011222559872535454,-2.8071182209341123,-0.00608580890029476,3.290641693510244,-2.3358187262835743,35.19475945810027,2.0906667208142093,8.00633296436102,5.291291709199668,6.287917939248907,0.3971828659071028,0.24327655170120263,-0.016535188119086237,0.05781063726679214,0.10533524844351921
6,D,Ds1_2536,1.2744698502146998,0.10240645848795121,-0.011222559872535454,-2.8071182209341123,-0.00608580890029476,3.290641693510244,-2.3358187262835743,35.19475945810027,2.7339511595443553,8.824003352388328,5.5821065098598535,7.21605229653849,0.148926376881712,0.24327655170120263,0.08207869714445577,0.033500098860308435,0.06007483234889558
6,B,Bs1_lower,4.185593669014705,0.09163601635062746,-0.009313775027783841,-3.2408226132770643,-0.006001641532364727,6.366017996145307,-1.3050497626437128,35.59347217145663,9.552398913651835,40.37699243843594,5.497928566336018,37.989331299913154,0.49290880274880305,0.2991288905445611,-0.013939339598371875,-0.0672960886232431,0.02359702765155385
6,B,Bs1_5830,4.185593669014705,0.09163601635062746,-0.009313775027783841,-3.2408226132770643,-0.006001641532364727,6.366017996145307,-1.3050497626437128,35.59347217145663,8.464653613617829,43.50869070042623,5.223027285376637,38.231621140144654,0.09676852413797109,0.2991288905445611,-0.05903914483924771,-0.126444436414724,0.15733561449421396
7,D,Ds1_2460,1.2943412852856153,0.08060451110004835,-0.00908324161500302,-2.9615466957339,-0.0029973413869929483,1.5887811268170053,-0.9174332687568225,41.628193061482946,2.099210010817064,7.932335268444435,4.253506526229794,7.149029560026298,0.4018956461092321,0.24208824474191917,0.03597070519275737,-0.16279016089865142,0.8392007010572403
7,D,Ds1_2536,1.2943412852856153,0.08060451110004835,-0.00908324161500302,-2.9615466957339,-0.0029973413869929483,1.5887811268170053,-0.9174332687568225,41.628193061482946,2.7636431596583186,9.721010542830285,4.262678263495201,7.489197992340549,0.17625680562135873,0.24208824474191917,0.020922071579489106,-0.030103111748951594,0.04890950239209607
7,B,Bs1_lower,4.193989237135981,0.0866725858223487,-0.009569347989173544,-2.926468190654953,-0.005665144955760075,3.8813815041841075,-3.005619076153375,36.44302155186667,8.14268570677844,40.212938389343165,5.494324481302168,37.489197111417376,0.50099230241044,0.29484718947411187,-0.0024449568432273546,-0.2982531013926423,0.6117108557084875
7,B,Bs1_5830,4.193989237135981,0.0866725858223487,-0.009569347989173544,-2.926468190654953,-0.005665144955760075,3.8813815041841075,-3.005619076153375,36.44302155186667,7.616159754265301,42.10364209696875,6.832792824933199,41.06787419967727,0.08878688771319436,0.29484718947411187,0.020601411668272847,-0.0862574247133449,0.07472419833036521
8,D,Ds1_2460,1.2591159655045925,0.08732437445131315,-0.010677834718824532,-3.2275558570837393,-0.002768120918200377,3.70061168287635,-3.2552450260255874,39.182317890582546,2.536130938968073,8.247760368934589,4.924290559222621,6.634210367594138,0.4232513766323955,0.2593848799056765,0.054525829974451503,-0.08216757577440242,0.2134508539996502
8,D,Ds1_2536,1.2591159655045925,0.08732437445131315,-0.010677834718824532,-3.2275558570837393,-0.002768120918200377,3.70061168287635,-3.2552450260255874,39.182317890582546,2.659650732568772,8.528088339615023,5.96817417435936,7.164568586221639,0.1588398097917609,0.2593848799056765,0.04760452071132139,-0.023169204217903642,0.02874339909232759
8,B,Bs1_lower,4.1843706289700355,0.0855800217825691,-0.013793801496818687,-2.971386705840823,-0.0021138427478731053,2.5951913962512925,-1.5871152338617467,35.81833393201931,9.83895890035137,41.649402988802215,5.672003077456477,39.005483089892564,0.5220336918391567,0.3050315337814167,-0.05624656586382196,-1.0828033516528006,10.219691341645397
8,B,Bs1_5830,4.1843706289700355,0.0855800217825691,-0.013793801496818687,-2.971386705840823,-0.0021138427478731053,2.5951913962512925,-1.5871152338617467,35.81833393201931,8.517774694347725,43.83974920777238,5.404661255334181,39.068977932228485,0.09655710698373962,0.3050315337814167,0.022804281102674347,-1.123471537504301,12.283594443751712
9,D,Ds1_2460,1.281949740735624,0.10680440757787357,-0.011810545810340084,-3.0656480618154935,-0.00246991405678592,3.8758699080647143,-3.1984647775234336,46.62006842249062,2.1836317933484004,7.774405430425259,4.7889197159523444,6.4791513856467855,0.36855649154726944,0.2553328010997688,0.015032760822817213,-0.12189429593019233,0.4743735550435609
9,D,Ds1_2536,1.281949740735624,0.10680440757787357,-0.011810545810340084,-3.0656480618154935,-0.00246991405678592,3.8758699080647143,-3.1984647775234336,46.62006842249062,2.7676353390235,9.96168005224716,4.743203091750106,6.978741437827066,0.2037440660542917,0.2553328010997688,0.003197880116594436,-0.0023330696869113005,0.00029287111157738215
9,B,Bs1_lower,4.168043109182651,0.11672707945932055,-0.01418610287916084,-2.880392115715033,-0.005825560821847774,4.538239476464714,-2.286986446848993,32.0654301355486,8.23055764814198,40.501797187496095,6.455481200828258,39.13508276905436,0.47661422725096436,0.3091498761632946,0.010663528667824872,-0.46739096660029417,0.8315787095848323
9,B,Bs1_5830,4.168043109182651,0.11672707945932055,-0.01418610287916084,-2.880392115715033,-0.005825560821847774,4.538239476464714,-2.286986446848993,32.0654301355486,7.207123653217702,42.717086571117946,6.123165177264382,39.61230449780402,0.113122994314297,0.3091498761632946,-0.02531260197972636,-0.6302911519777538,3.907868880903266
10,D,Ds1_2460,1.2724039947782866,0.08584142884483398,-0.008727784304721957,-3.2242648331321972,-0.0034450422710659255,3.9287530502795502,-2.0539214392854928,34.31777218455553,2.8669970331208146,8.269581038205077,5.617412820357244,7.1541752556440805,0.4268769156736504,0.24780786956405187,0.17529727318840896,0.013321140729783628,0.005592812588113798
