M2,s0,gA_star,width_A_keV,qcd_side,pert,heavy_local,twist2_chi_phi,twist4_2p,twist3_2p_f3g,twist4_3p_F2,twist3_3p_F3,F2_integral,F3_integral,theta_deg,g1_2460_axial_only,g2_2536_axial_only,Gamma2460_axial_only_keV,Gamma2536_axial_only_keV,fV_Dsstar_GeV,fA_GeV,f1_GeV,f2_GeV,chi_effective,fperp_s_used_GeV,omegaA,omegaV,gB_soft,fB_eff_GeV,ratio_tensor_da,ratio_vector_da,qcd_B_soft,qcd_tensor_family_A,qcd_f3_family_A,g1_2460_softAB,g2_2536_softAB,Gamma2460_softAB_keV,Gamma2536_softAB_keV,scenario,ensemble
4.054057976586275,7.909324025521879,-0.7751128929914088,19.134552129703994,-0.04735796897611267,0.0180037544489161,-0.00795093406209273,-0.059092761268542834,-0.00155251185468755,0.0019282414060079257,-0.0006219990517214903,0.0019282414060079118,-0.1562500000000002,-3.6589903518607407,35.3,-0.2399939847081354,-0.2966543524502984,1.8343790964118445,4.723685838752451,0.22118599659777452,0.1943993441825769,0.3628108343832739,0.4145456984413444,3.1073277665081958,-0.04336088083119,-1.7539665814939425,3.3506265008250735,-1.3143225525354147,0.43699432550857403,3.009713169689577,1.0068347904362038,-0.18051407487205168,-0.06126727217495188,0.0038564828120158374,-1.5319891581699165,0.5039652006298883,74.74803208272255,13.632661607570341,legacy_chi_condensate,theta_fixed
3.996704407925204,8.058901077271262,-0.4035024255386292,5.207581916128625,-0.025115005667324945,0.018140030355964388,-0.006227507422720202,-0.06024961503913291,-0.0011258376418246307,0.012417625276861723,-0.00048732647333491093,0.012417625276861601,-0.1562500000000002,-4.982374617440838,35.3,-0.12791983595301493,-0.13629060115977085,0.5233829833185701,0.9984886900203803,0.23383329488556837,0.19085817158816634,0.3478883318077112,0.461162922567231,4.014244119510355,-0.04439333199007986,-1.842355018246324,4.262236944097892,-1.1104322370010071,0.4722608517406055,3.1655214414389374,0.9988457557009516,-0.17102136923255826,-0.061862779154292453,0.024835250553723324,-1.3581815981607024,0.5208230240893511,59.00101660472852,14.58114690239682,legacy_chi_condensate,theta_fixed
3.002151392061604,8.137973283462026,-0.26826223319812936,2.301031461176107,-0.010457429414398854,0.012715528390652221,-0.004435647376893911,-0.02474204661037635,-0.0013133306750849048,0.0038325737024766664,-0.0003470805476492896,0.003832573702476716,-0.1562500000000002,-2.031180880507702,35.3,-0.10863500728714327,-0.11699205034866345,0.37734889368216207,0.7343653041576621,0.18022856306670565,0.2398220197721203,0.34221547298039506,0.44880286525776963,2.7899697035200126,-0.025047640989232255,-2.2178376567503046,2.0384494072218895,-1.0749481573961088,0.4264337424155946,3.1130356671055144,1.002152159262813,-0.07451014891078073,-0.026402457833110547,0.007665147404953382,-1.2018430566231988,0.4732148848233869,46.18479315786414,12.014791508917657,legacy_chi_condensate,theta_fixed
4.032251554114387,7.783190752520695,0.23070524142974688,1.676921270318434,0.015926830660671472,0.017639055190304044,-0.005510253252849236,-0.03613342552322957,-0.0010244921862713231,0.020693514169180034,-0.0004310819056420126,0.02069351416917953,-0.1562500000000002,-6.90828046001297,35.3,0.07542495724296569,0.08272311084423205,0.17923709475672064,0.3675362432989686,0.25525196176184617,0.19161836347048922,0.3386884319179774,0.4361452143721917,2.7633960296488698,-0.026869180047702914,-0.8466963020257208,5.9636562264449795,-0.41322706589711783,0.5047423495995429,3.105888296120828,1.005228302573786,-0.07514382172242028,-0.0375889996151429,0.04138702833835957,-0.42717392979055235,0.3590659663481184,5.749197534345373,6.924603996736017,legacy_chi_condensate,theta_fixed
3.8366709153536713,8.414649280306321,0.5337525229644682,8.99223609254376,0.034775084781857465,0.016999425868119786,-0.005306653979686128,-0.04076245200876795,-0.0011516564119779897,0.03270573100416953,-0.0004150406941691306,0.032705731004169354,-0.1562500000000002,-7.746740324226698,35.3,0.1696242556898793,0.19568376151393505,0.9081628431343314,2.067390086190163,0.2621163059530137,0.18816616489119561,0.34214828475243786,0.418880427034027,3.2236628576598916,-0.030708740294906948,-3.305740987427801,5.740212790307258,-0.41014158573442816,0.42831632205201753,3.0031896470259505,1.0135385312798424,-0.060825425256531604,-0.04232914911491507,0.06541146200833889,-0.249407990476494,0.4380260535097215,1.9633989096123796,10.358878496919568,legacy_chi_condensate,theta_fixed
3.5667668074696883,8.148362550574312,0.22447635035260918,1.6092335825942619,0.011390336505577045,0.015123621768163101,-0.006668249178165634,-0.03980026572512095,-0.0015552355182797929,0.02240599289982636,-0.0005215206406721884,0.02240599289982615,-0.1562500000000002,-5.555334305148142,35.3,0.07771698528066953,0.09015479093703815,0.19289003535490795,0.43795034997783333,0.2108758758069545,0.20213248726407157,0.33737400376453935,0.4107535101991318,2.656195414138705,-0.032899172857979275,-2.3391163195697713,4.504087843804132,-0.8006442776940951,0.41886338491341174,3.09625995788995,1.0148125227445948,-0.08418638165679587,-0.04187702188407293,0.04481198579965251,-0.7335499357133618,0.5619478707036963,17.184514558258964,17.01528847269816,legacy_chi_condensate,theta_fixed
4.380251780637927,7.977405087080898,0.014225770827738135,0.006423136179321295,0.001317180014398782,0.018944171680972555,-0.006137974204091847,-0.048444780126430886,-0.0009958265954312464,0.019215820310446937,-0.0004800513615134739,0.019215820310446743,-0.1562500000000002,-7.3462030088762935,35.3,0.005760662366665614,0.008123172261424068,0.0010532715592427013,0.0035391275839409056,0.23587634920527223,0.2508158432816285,0.35791442337395063,0.358482939778646,3.1348843287609953,-0.03284993126322355,-2.246297017097731,5.8085342450570465,-0.639231735265438,0.4921520888115019,3.1058813859399796,1.0124538936574847,-0.1161373785287615,-0.049920658083375605,0.03843164062089368,-0.7116070761271982,0.5152423282170483,16.07222596150676,14.238622006282775,legacy_chi_condensate,theta_fixed
3.9238047703647765,8.214291655163679,-0.37379951798088884,4.435569575488654,-0.031453664268657894,0.018552172242298878,-0.005428422864288881,-0.04692847127585574,-0.0009980889403710775,0.0018871179261614251,-0.00042508928276390194,0.001887117926161408,-0.1562500000000002,-1.0487024991361817,35.3,-0.1419937577088057,-0.1920165075493566,0.6400448784969096,1.9800465027420686,0.2670752498923014,0.23146299006355434,0.35210475615393855,0.36774358963976084,3.588605641166692,-0.03490447359821419,-0.9582540137129991,1.759659328147977,-0.8663219673047408,0.47154700253886406,3.1482876021259205,0.9843174811504769,-0.14850985233258424,-0.04835164949899072,0.003774235852322833,-1.0888756366673762,0.44990222911243827,37.638168589556955,10.87012522601242,legacy_chi_condensate,theta_fixed
3.728265450066657,8.17745096570034,0.45402368517162095,6.577213021505303,0.023229963078547407,0.016773350217741533,-0.005764420243000772,-0.04581283081744453,-0.0012945651597885352,0.02988970602426506,-0.00045098296749071775,0.029889706024265366,-0.1562500000000002,-6.04233691194287,35.3,0.13424890979426565,0.18381407880778228,0.5750510811270928,1.819947120666154,0.22539768158144913,0.17889790992924623,0.34961805819292036,0.36063542527914,3.437770823287415,-0.03605487512127133,-4.139650978262593,4.250222589071575,-0.5901095939225366,0.4907943818919998,3.005807716147794,1.0056900683866306,-0.08283178140833236,-0.04755837894472378,0.05977941204853043,-0.5418368413069106,0.6478853893734543,9.367462232978196,22.609845657894258,legacy_chi_condensate,theta_fixed
3.0781100234625702,7.573823160147042,-0.3097189457332278,3.078298889829945,-0.018758923671193844,0.0125348262633993,-0.004180029641072801,-0.023844914381970367,-0.0011827571903779439,-0.0008795111454750105,-0.00032702643022200755,-0.0008795111454750137,-0.1562500000000002,-4.507343460067517,35.3,-0.13360193993501562,-0.18520465298445649,0.572797046094161,1.8476916882553036,0.26336055302990113,0.24416776830504064,0.3270876824173303,0.33324803237150663,2.8805350267803007,-0.02404473530579237,-3.126664489930511,3.4963338527376306,-0.7253691499885213,0.45252894197231225,3.141621616771069,1.006261252548021,-0.08142490330532842,-0.025354698002570317,-0.0017590222909500243,-0.9526410360210035,0.3839872261710576,29.122845865792062,7.9425374766497185,legacy_chi_condensate,theta_fixed
