scenario,ensemble,n,gB_soft_mean,gB_soft_std,gB_soft_p16,gB_soft_median,gB_soft_p84,gB_soft_min,gB_soft_max,gB_hard_mean,gB_hard_std,gB_hard_p16,gB_hard_median,gB_hard_p84,gB_hard_min,gB_hard_max,gB_total_mean,gB_total_std,gB_total_p16,gB_total_median,gB_total_p84,gB_total_min,gB_total_max,g1_2460_fullAB_mean,g1_2460_fullAB_std,g1_2460_fullAB_p16,g1_2460_fullAB_median,g1_2460_fullAB_p84,g1_2460_fullAB_min,g1_2460_fullAB_max,Gamma2460_fullAB_keV_mean,Gamma2460_fullAB_keV_std,Gamma2460_fullAB_keV_p16,Gamma2460_fullAB_keV_median,Gamma2460_fullAB_keV_p84,Gamma2460_fullAB_keV_min,Gamma2460_fullAB_keV_max,g2_2536_fullAB_mean,g2_2536_fullAB_std,g2_2536_fullAB_p16,g2_2536_fullAB_median,g2_2536_fullAB_p84,g2_2536_fullAB_min,g2_2536_fullAB_max,Gamma2536_fullAB_keV_mean,Gamma2536_fullAB_keV_std,Gamma2536_fullAB_keV_p16,Gamma2536_fullAB_keV_median,Gamma2536_fullAB_keV_p84,Gamma2536_fullAB_keV_min,Gamma2536_fullAB_keV_max
legacy_chi_condensate,theta_fixed,500,-0.9144530063694625,0.2904683949724634,-1.1945312511915342,-0.8947922248946754,-0.644159415648552,-1.893001867502868,-0.11204992753522104,0.16150647689079267,0.02590855213457536,0.13529382159409167,0.1589727322487402,0.18767391214940965,0.10601354034585646,0.26305776552883203,-0.7529465294786698,0.281657939789829,-1.0145368175192142,-0.7408829951549523,-0.4981293342189105,-1.729724700484273,0.02403069674029326,-0.8943058587604737,0.4207707371699564,-1.298678347474637,-0.871464640831646,-0.5203323311576556,-2.295074318554352,0.4560428284614125,31.107298134581885,26.112757121584252,8.630763077578084,24.15977072930542,53.72716448319018,0.015997721029530516,169.72896841625516,0.4383075985892074,0.11752338205167469,0.3276236138175096,0.42599879420306747,0.5530004153972112,0.2076534402007975,1.1384336287089685,11.076132242161217,6.319112740773356,5.782534309992346,9.739207874105714,16.474240857838797,2.3195013631199353,69.5644352685685
legacy_chi_condensate,theta_scan_25_45,500,-0.9078146780640187,0.3035765081353853,-1.2026231812568613,-0.8866509503286967,-0.619466333473699,-2.073374946424748,-0.13327460988519924,0.1629554699655673,0.02845076526066761,0.13650107226454586,0.15941339264151747,0.18986837088235586,0.1049031938024437,0.2685945690122033,-0.7448592080984514,0.29309037837690766,-1.022835772704785,-0.7323050851244606,-0.46283006874634114,-1.8501516754888867,0.033541764996887685,-0.8765137165484082,0.43153818188215404,-1.3016567747885368,-0.8669950994109502,-0.4531135494902022,-2.4881109162392994,0.30672195423438026,30.39887156053976,27.432686368558688,6.5541151699623015,23.874710387930293,54.44402345084612,0.0047573782111329874,195.92116816861585,0.43345030199751183,0.15354199812954036,0.28075933650571167,0.42665727355341,0.5784241102223552,0.14179502895662183,1.0368732575471193,11.37475629512081,8.22982761496952,4.231106195849891,9.798137806011185,18.00442619441894,1.081936505620299,57.708721547840355
lattice_fperp_s,theta_fixed,500,-1.5280299695136559,0.28740345724246597,-1.7902332581938163,-1.5156694944891287,-1.2687592168561435,-2.8614039450027198,-0.7133251010627019,0.1622307200242452,0.026308159133348046,0.137361439283388,0.15909578237863511,0.18772119084299724,0.10255537736137856,0.28849171249458616,-1.3657992494894107,0.26908850167655984,-1.6134305679437515,-1.362439919565626,-1.1244931426163534,-2.5729122325081337,-0.5928460262172821,-1.7147240577899152,0.3843628515450599,-2.082899554145937,-1.7037619831089628,-1.3670108927528497,-3.150393462534437,-0.3320593109464394,98.32435128475507,42.61793536059289,59.73893353542883,92.28654040878475,138.74776447427055,3.5077715438122365,312.6852239286922,0.6823233310396107,0.14384122049971002,0.5536998656242906,0.6543553798714412,0.8079243650647734,0.3726449257857145,1.370952887579542,26.158280763050826,12.003967187750229,16.539705560452163,22.989816641779136,35.07179527669187,7.463825912461568,100.51417229490316
lattice_fperp_s,theta_scan_25_45,500,-1.5516057907769305,0.2965488923947935,-1.8320335313910323,-1.52825411997238,-1.275434357425406,-2.507431873535635,-0.8408525948062412,0.16355610613809352,0.02878316606525659,0.13584872800862077,0.1596690243016634,0.19001089152772602,0.09362821105074971,0.27463362122241003,-1.3880496846388368,0.2755487355124168,-1.6569206134283656,-1.3707323025185518,-1.1319154444670698,-2.2737888430487496,-0.707172718994606,-1.7382406978927802,0.3966429376821616,-2.1281838502794916,-1.7101850359379456,-1.3387187985117057,-3.030520222114935,-0.6537354489709185,101.26230494762768,45.39836946091985,57.11625644465923,93.14109337402427,145.11851523220653,13.57818301070248,294.93232914476613,0.6638160855664711,0.21435685991114228,0.44240450322589486,0.6442969395683273,0.8823568647292519,0.2295134639197717,1.6334596636055938,26.172482905525097,16.98962656129986,10.548118164111841,22.29392378454977,41.81623109979676,2.838071890695896,143.0537324905561
